hyperlink,Link,Brand,Model,Min Micron (µm),Max Micron (µm),Grind Range (µm),Total Steps/Clicks,Step Type,Approx. µm per Step/Click,Grinder Characteristics & Coffee Brewing Notes,Verification Notes,notes formula
C2 Fold,https://honestcoffeeguide.com/timemore-c2-fold-grind-settings/,Timemore,C2 Fold,0,950,950,36,External stepped click dial,26.38888889,"Compact travel-oriented version of the C2 featuring a folding/collapsible hand crank for portability and the same 38mm stainless steel conical burr set. Uses an external numbered click dial with roughly 36 clicks (about 26 microns per click) and a double-bearing axle for grind stability. Aluminum body keeps weight low for travel. Best for filter, pour-over and AeroPress; espresso possible but with coarse, less precise stepping.",Range per source; live re-verify hit web rate limit,
C2 Max,https://honestcoffeeguide.com/timemore-c2-max-grind-settings/,Timemore,C2 Max,0,950,950,36,External stepped click dial,26.38888889,"Larger-capacity version of the C2 with a roughly 30g bean hopper and the same 38mm stainless steel S2C conical burrs. Adjustment is via an external numbered click dial of about 36 clicks (around 26 microns per click) with a double-bearing axle for stable, consistent grinding. Aluminum body with textured grip. Intended for filter and pour-over brewing for larger batches; espresso achievable but with coarse stepping.",Range per source; live re-verify hit web rate limit,
C2 Max Pro,https://honestcoffeeguide.com/timemore-c2-max-pro-grind-settings/,Timemore,C2 Max Pro,0,950,950,36,External stepped click dial,26.38888889,Upgraded large-capacity C2 with refined 38mm stainless steel conical burrs and improved internal adjustment for tighter consistency. Uses an external numbered click dial of roughly 36 clicks (about 26 microns per click) and a stabilizing double-bearing axle. Aluminum body with around 30g capacity. Geared toward filter and pour-over brewing with better all-around uniformity than the standard C2.,Range per source; live re-verify hit web rate limit,
C3,https://honestcoffeeguide.com/timemore-c3-grind-settings/,Timemore,C3,0,950,950,36,External stepped click dial,26.38888889,"Successor to the C2 featuring upgraded 38mm stainless steel spike-to-cut (S2C) conical burrs for faster, more uniform grinding. Uses an external numbered click adjustment dial with roughly 36 clicks (about 26 microns per click) and an improved CNC-machined double-bearing axle for stability. Textured aluminum body with around 25-30g capacity. Best for pour-over, filter and French press; espresso possible but coarse stepping limits precision.",Range per source; live re-verify hit web rate limit,
C3 ESP,https://honestcoffeeguide.com/timemore-c3-esp-grind-settings/,Timemore,C3 ESP,0,1009,1009,25,Internal stepped (espresso-tuned),40.36,"Espresso-focused version of the C3 with an internal, finer-stepped adjustment read in three parts (rotation, number, tick) for precise dialing across espresso to filter. Equipped with 38mm stainless steel conical burrs optimized for finer particle distribution and a double-bearing axle for stability. Aluminum body in the standard C3 form factor. Designed primarily for espresso while remaining capable of filter brewing.",micron/step 23.3 per Timemore official manual (0.0233mm),
C3 ESP Pro,https://honestcoffeeguide.com/timemore-c3-esp-pro-grind-settings/,Timemore,C3 ESP Pro,0,1009,1009,90,Internal stepped (espresso-tuned),11.21111111,"Premium espresso-oriented C3 variant with upgraded burrs and a finer internal stepped adjustment read as rotation.number.tick for highly precise espresso dialing. Features 38mm stainless steel conical burrs, reinforced double-bearing CNC axle, and a magnetic catch cup on many units. Aluminum body with foldable or fixed crank depending on edition. Built for espresso enthusiasts who also want filter capability with greater consistency than the standard C3 ESP.",micron/step 23.3 per Timemore official manual (0.0233mm),
C3 Max,https://honestcoffeeguide.com/timemore-c3-max-grind-settings/,Timemore,C3 Max,0,950,950,25,External stepped click dial,38,"Larger-capacity version of the C3 with a roughly 30g hopper and the same upgraded 38mm stainless steel S2C conical burrs for fast, uniform grinding. Adjustment is via an external numbered click dial of about 36 clicks (around 26 microns per click) with a double-bearing axle for stability. Textured aluminum body. Best for filter, pour-over and French press in larger batches; espresso possible but with coarse stepping.",Range per source; live re-verify hit web rate limit,
C3 Max Pro,https://honestcoffeeguide.com/timemore-c3-max-pro-grind-settings/,Timemore,C3 Max Pro,0,950,950,25,External stepped click dial,38,"Upgraded large-capacity C3 with refined 38mm stainless steel conical burrs and improved internal adjustment for tighter, more repeatable grinding. Uses an external numbered click dial of roughly 36 clicks (about 26 microns per click) and a stabilizing double-bearing CNC axle. Aluminum body with around 30g capacity. Geared toward filter and pour-over brewing with better all-around uniformity than the standard C3 Max.",Range per source; live re-verify hit web rate limit,
C3 Pro,https://honestcoffeeguide.com/timemore-c3-pro-grind-settings/,Timemore,C3 Pro,0,950,950,90,External stepped click dial,10.55555556,"Premium version of the C3 with upgraded internals, a reinforced double-bearing CNC axle, and the same 38mm stainless steel S2C conical burrs for improved stability and consistency. Adjustment uses an external numbered click dial of roughly 36 clicks (about 26 microns per click). Aluminum body with a transparent or upgraded catch cup on some editions. Best for pour-over and filter brewing with strong uniformity for a manual grinder.",Range per source; live re-verify hit web rate limit,
C3S,https://honestcoffeeguide.com/timemore-c3s-grind-settings/,Timemore,C3S,0,950,950,25,External stepped click dial,38,"Refined variant of the C3 featuring upgraded 38mm stainless steel S2C conical burrs with tweaked geometry for smoother, faster grinding and improved uniformity. Uses an external numbered click dial of roughly 36 clicks (about 26 microns per click) with a double-bearing axle for stability. Textured aluminum body around 25-30g capacity. Best for pour-over, filter and French press; espresso possible but with coarse stepping.",Range per source; live re-verify hit web rate limit,
C3S Pro,https://honestcoffeeguide.com/timemore-c3s-pro-grind-settings/,Timemore,C3S Pro,0,950,950,25,External stepped click dial,38,"Premium version of the C3S with upgraded internals, reinforced double-bearing CNC axle, and refined 38mm stainless steel S2C conical burrs for enhanced stability and grind consistency. Adjustment is via an external numbered click dial of roughly 36 clicks (about 26 microns per click). Aluminum body with an upgraded catch cup on some editions. Best for pour-over and filter brewing with strong uniformity for a manual grinder.",Range per source; live re-verify hit web rate limit,
C5 ESP Pro,https://honestcoffeeguide.com/timemore-c5-esp-pro-grind-settings/,Timemore,C5 ESP Pro,0,1250,1250,90,Internal stepped (espresso-tuned),13.88888889,"Higher-end espresso-capable manual grinder with a wide range and a finer internal stepped adjustment read in three parts (rotation, number, tick) for precise espresso-to-filter dialing. Features upgraded stainless steel conical burrs (around 38mm) with a spike-to-cut design for fast, uniform output, plus a reinforced double-bearing CNC axle. Aluminum body with magnetic catch cup. A versatile all-rounder leaning toward espresso precision.",micron/step 15 per Timemore official manual (0.015mm),
C5 Pro,https://honestcoffeeguide.com/timemore-c5-pro-grind-settings/,Timemore,C5 Pro,0,950,950,16,Internal stepped (macro+micro),59.375,"Compact all-metal manual grinder with 42mm S2C-042-III conical burrs (SUS420 hardened stainless steel, 55-58 HRC, 5-axis CNC cut) and double-bearing axle positioning for stability. Uses internal stepped adjustment with 16 macro and 48 micro positions at 0.031mm per click, giving point-to-point dialing across espresso to French press. Holds 30g, weighs around 663g, with a foldable handle for portability. A versatile mid-range daily-driver hand grinder.",OK - range matches source,
Chestnut X,https://honestcoffeeguide.com/timemore-chestnut-x-grind-settings/,Timemore,Chestnut X,80,980,900,120,Dual stepped dials,7.5,"Premium hand grinder with 42mm S2C strike-to-cut burrs in martensite (high-carbon) steel for high efficiency and wear resistance, set in an aluminium alloy body. Dual-dial adjustment gives 120 settings: 24 macro clicks on the first dial refined by up to 5 micro clicks on a second dial. The foldable handle tucks to the side for travel. Aimed at enthusiasts wanting fine control from espresso through French press; avoid settings below 3 clicks to protect the burrs.","Range OK; dual dial - macro ~80um, micro adds ~15um/click (per Timemore)",
G1,https://honestcoffeeguide.com/timemore-g1-grind-settings/,Timemore,G1,0,1020,1020,28,Internal stepped dial,36.42857143,"Flagship-tier hand grinder with 38mm conical burrs (stainless steel on the base G1, titanium-nitride-coated E&B burrs on upgraded versions) in a premium build of aluminium alloy, stainless steel axle with dual bearings, and black walnut accents. Stepped adjustment is set via a dial at the base of the center burr, clockwise for finer. Capacity around 25-30g. A heavier, high-build-quality all-purpose daily driver from espresso to coarse brews.",Range OK; micron/step 80 per Timemore official (0.08mm/click),
G1 Plus,https://honestcoffeeguide.com/timemore-g1-plus-grind-settings/,Timemore,G1 Plus,0,1020,1020,28,Internal stepped dial,36.42857143,"Upgraded G1 with 38mm titanium-nitride-coated E&B (espresso and brewing) conical burrs capable of efficient grinding across all brew methods. Premium build using aluminium alloy body and grinds catch, stainless steel axle/dual bearings/crank, and a black walnut pommel; weight around 568g, 25-30g capacity. Stepped base dial adjusts grind, clockwise finer. A high-end versatile hand grinder positioned for both espresso and pour over.",Range OK; micron/step 80 per Timemore official (0.08mm/click),
Nano,https://honestcoffeeguide.com/timemore-nano-grind-settings/,Timemore,Nano,0,825,825,30,Internal stepped dial,27.5,"The most compact grinder in Timemore Chestnut line, with a patented foldable handle and a slim 43mm anti-slip body standing under 5 inches tall, weighing around 360g. Uses 38mm dual-purpose conical stainless steel burrs (5-axis CNC cut; titanium-coated on some variants) able to grind dense beans from espresso to French press. Stepped adjustment system. Designed primarily as a travel and pocket grinder; avoid settings below 6 clicks to protect the burrs.",Range OK; micron/step 80 per Timemore official (0.08mm/click),
S3,https://honestcoffeeguide.com/timemore-s3-grind-settings/,Timemore,S3,330,1110,780,90,External stepless (lens dial),8.666666667,"Premium mid-range hand grinder with 42mm S2C spike-to-cut 890 burrs in high-carbon SUS420 stainless steel that crush then cut beans, tuned to limit fines in the 200-250 micron range for more body and sweetness. Features an external camera-lens-style adjustment dial so grind can be changed without disassembly. Grinds about 20g pour-over in 25-27 seconds. Best suited to manual filter brewing (pour over, French press, AeroPress).",Range OK; micron/step 15 per Timemore official (0.015mm/click),
Sculptor 064,https://honestcoffeeguide.com/timemore-sculptor-064-grind-settings/,Timemore,Sculptor 064,370,1260,890,36,Stepped dial,24.72222222,"Single-dose electric grinder with 64mm flat Turbo burrs optimized for filter brewing (pour over, French press, cold brew); it does not grind fine enough for true espresso. Uses a 36-position stepped dial for clear, repeatable filter settings, driven by a brushless PID-controlled motor with adjustable RPM. Includes the patented Rotary Knocker and magnetic components for low retention and clean grinding in an all-metal body. The pour-over-focused sibling of the stepless 064S.",Range OK; stepless flat-burr so micron/step = NA,
Sculptor 064S,https://honestcoffeeguide.com/timemore-sculptor-064s-grind-settings/,Timemore,Sculptor 064S,235,1035,800,160,Stepless dial,5,"All-purpose single-dose electric grinder with 64mm flat stainless steel burrs (same size class as the Mazzer Super Jolly) giving high uniformity and low heat transfer, with upgradable burr options. Driven by a sensorless brushless motor with PID control and adjustable RPM (around 800-1200), it uses a stepless dial for infinite fine dialing across espresso to filter. Features the patented Rotary Knocker, oversized grind dial, magnetic hopper lid and catch cup, and an all-metal body.",OK - range matches source,
Sculptor 078,https://honestcoffeeguide.com/timemore-sculptor-078-grind-settings/,Timemore,Sculptor 078,370,1270,900,36,Stepped dial,25,"Single-dose electric grinder with 78mm flat Turbo burrs aimed at filter brewing (pour over, French press, cold brew) rather than espresso. Uses a 36-position stepped dial for repeatable filter grind settings, powered by a zero-friction brushless motor with PID control and adjustable RPM. Includes the patented Rotary Knocker for low-retention ejection, plus magnetic hopper lid and catch cup in a heavy all-metal body. The pour-over-focused counterpart to the stepless 078S.",Range OK; stepless flat-burr so micron/step = NA,
Sculptor 078S,https://honestcoffeeguide.com/timemore-sculptor-078s-grind-settings/,Timemore,Sculptor 078S,235,1235,1000,180,Stepless dial,5.555555556,"Flagship single-dose electric grinder with 78mm flat burrs delivering high uniformity for both espresso and pour over. Driven by a zero-friction brushless motor with PID control and Hall elements, adjustable 800-1400 RPM, rated 400W; weighs about 6.5kg. Stepless adjustment allows infinite fine-tuning, supported by the patented Rotary Knocker, magnetic hopper lid and catch cup, and an aluminium alloy and stainless steel build. A premium do-everything home grinder.",OK - range matches source,
Slim,https://honestcoffeeguide.com/timemore-slim-grind-settings/,Timemore,Slim,0,950,950,30,Stepped (marked plate),31.66666667,"Slim-profile hand grinder using 38mm S2C spike-to-cut conical burrs (carbon steel, titanium-coated on current versions) for high grinding efficiency. Adjustment is stepped with positions marked on the adjustment plate; steps suit medium and coarse filter grinds, though fine espresso dialing can be tricky. Narrow ergonomic body for comfortable handheld grinding. Aimed mainly at manual filter brewing such as pour over and French press; avoid settings below 6 clicks to protect the burrs.",Range OK; micron/step 80 per Timemore official (0.08mm/click),
E01,https://honestcoffeeguide.com/timemore-x-millab-e01-grind-settings/,Timemore,E01,205,925,720,60,Stepped dial,12,"Portable cordless electric grinder from the Timemore x Millab line with a top-mounted motor and a 5000mAh battery good for roughly 130 pour-over or 30 espresso doses per charge. Uses newly developed S2C 890 burrs that reduce fines for a more balanced cup, with 60 precise stepped settings of 0.025mm each spanning French press to espresso. Compact palm-sized footprint with a solid build. A premium travel and small-space electric grinder for both espresso and pour over.",OK - range matches source,
M01,https://honestcoffeeguide.com/timemore-x-millab-m01-grind-settings/,Timemore,M01,130,1400,1270,100,Micrometric stepped,12.7,"Flagship manual grinder from the premium Millab sub-brand featuring distinctive 44mm Pineapple conical burrs in SUS420 stainless steel whose geometry slices beans efficiently for uniformity approaching a 64mm flat burr with few fines. Built from aerospace-grade aluminium and stainless steel with minimal plastic, it is large and heavy at about 1.1kg. Micrometric adjustment gives 100 micro-clicks of 12.5 microns each on a 1-10 scale, with espresso near 0.5-1. A high-end all-rounder excelling from espresso to filter.",OK - range matches source,
CF64V,https://honestcoffeeguide.com/turin-cf64v-grind-settings/,Turin,CF64V,135,870,735,90,Stepless,8.166666667,"Single-dose electric flat-burr grinder built around 64mm burrs and based on the popular DF64 platform (made by Ningbo Frigga); the V denotes a variable/stepless worm-gear adjustment dial replacing the click stops, giving very fine micro-adjustment ideal for dialing in espresso. Ships with 64mm flat burrs and is widely upgradeable to SSP 64mm sets. Features anti-static bellows single-dose workflow, declumping, and a compact metal body for home espresso and filter enthusiasts wanting low retention and granular control.",OK - range matches source,
DF54,https://honestcoffeeguide.com/turin-df54-grind-settings/,Turin,DF54,110,900,790,90,Stepless,8.777777778,"Compact single-dose electric grinder using 54mm flat burrs, positioned as a smaller, more affordable sibling to the DF64 (made by Ningbo Frigga). It offers stepless grind adjustment for precise espresso dialing and a single-dose bellows workflow with low retention. The smaller 54mm flat burrs suit home espresso and pour-over use, delivering good clarity for the price while keeping footprint and cost down.",OK - range matches source,
DF64 (Gen 1),https://honestcoffeeguide.com/turin-df64-gen-1-grind-settings/,Turin,DF64 (Gen 1),150,1200,1050,90,Stepless,11.66666667,"The original DF64 is a single-dose electric flat-burr grinder with 64mm burrs (Ningbo Frigga) that popularized affordable single-dosing; Gen 1 uses a stepless worm-gear adjustment for fine espresso control. Stock 64mm flat burrs handle espresso to filter, and the platform is highly burr-upgradeable (SSP). Known caveats include some retention and clumping/static, partly mitigated with bellows; build is a compact powder-coated metal body for home use.",OK - range matches source,
DF64 (Gen 2),https://honestcoffeeguide.com/turin-df64-gen-2-grind-settings/,Turin,DF64 (Gen 2),180,1050,870,90,Stepless,9.666666667,"Revised DF64 (Ningbo Frigga) keeping the 64mm flat-burr single-dose format with stepless worm-gear adjustment, but improving on Gen 1 with better burr alignment, reduced retention, a quieter motor, and chute/declumping refinements for cleaner workflow. Aimed at home espresso and filter users wanting low-retention single dosing with fine control. Remains widely upgradeable to SSP and other 64mm burr sets.",OK - range matches source,
DF64V,https://honestcoffeeguide.com/turin-df64v-grind-settings/,Turin,DF64V,110,1000,890,90,Stepless,9.888888889,"Premium DF64 variant (Ningbo Frigga) with a fully stepless variable adjustment system offering an extremely wide, finely resolved range from espresso to coarse filter; uses 64mm flat burrs in a single-dose body. The V platform emphasizes precision micro-adjustment and improved alignment over the standard DF64, with bellows-assisted low-retention dosing. Suited to enthusiasts who switch between espresso and pour-over; readily accepts SSP 64mm burr upgrades.",OK - range matches source,
DF83,https://honestcoffeeguide.com/turin-df83-grind-settings/,Turin,DF83,110,950,840,90,Stepless,9.333333333,"Larger single-dose electric grinder using 83mm flat burrs (Ningbo Frigga), scaling up the DF64 concept for faster grinding and a flatter particle distribution thanks to the bigger burr surface. Stepless worm-gear adjustment gives fine espresso control, with a single-dose bellows workflow and low retention. The 83mm flats target serious home espresso users and are upgradeable to SSP 83mm sets for greater clarity or body.",OK - range matches source,
DF83V,https://honestcoffeeguide.com/turin-df83v-grind-settings/,Turin,DF83V,130,1150,1020,90,Stepless,11.33333333,"Variable-adjustment flagship of the DF83 line (Ningbo Frigga) pairing 83mm flat burrs with a fully stepless V adjustment system for very fine, continuous control across a wide espresso-to-filter range. Improves on the standard DF83 with refined alignment and adjustment resolution, single-dose bellows workflow, and low retention. Intended for advanced home baristas; accepts SSP 83mm burr upgrades for tailored taste profiles.",OK - range matches source,
SD40 V1,https://honestcoffeeguide.com/turin-sd40-v1-grind-settings/,Turin,SD40 V1,90,990,900,76,Stepped (geared/clicked),11.84210526,"Single-dose electric grinder (also sold as MiiCoffee D40+) built around 40mm conical burrs, a more compact, value-oriented option versus the flat-burr DF series. The adjustment dial shows more printed ticks than actual grind steps (roughly 3-4 ticks per real step, ~19 effective settings). Conical burrs give a slightly more textured, full-bodied cup; aimed at home espresso/filter users wanting affordable single dosing.","Range OK; dial ticks are not steps, no reliable micron/step - unknown",
SD40 V2,https://honestcoffeeguide.com/turin-sd40-v2-grind-settings/,Turin,SD40 V2,90,990,900,76,Stepped (geared/clicked),11.84210526,"Updated single-dose electric grinder (also sold as MiiCoffee D40+) with 40mm conical burrs, sharing the V1 range and the same dial behavior where multiple ticks correspond to one true grind step (~19 effective settings). V2 brings minor build/workflow refinements over V1 while keeping the compact, budget-friendly single-dose conical format. Best for home espresso and everyday brewing where body and value matter more than ultimate clarity.","Range OK; dial ticks are not steps, no reliable micron/step - unknown",
Evo Hybrid,https://honestcoffeeguide.com/varia-evo-hybrid-grind-settings/,Varia,Evo Hybrid,130,830,700,140,Stepless,5,"Hand/electric-convertible hybrid grinder using 38mm conical burrs, with settings read as rotation count plus a numbered position (e.g. 1+32) for very fine micro-adjustment. Designed to be driven by hand crank or an electric drill/driver adapter, giving flexibility between manual and powered grinding. The conical burrs and fine, effectively stepless adjustment suit espresso through pour-over; a compact, travel-friendly build for versatile home and on-the-go use.",OK - range matches source,
Hand grinder,https://honestcoffeeguide.com/varia-hand-grinder-grind-settings/,Varia,Hand grinder,0,1400,1400,80,Stepped (clicked),17.5,"Manual hand grinder using conical burrs with a clicked adjustment measured as clicks from zero, offering a broad range from espresso to very coarse cold brew. Each detent provides a discrete, repeatable step for dialing in across brew methods. Aimed at home and travel users wanting an affordable, versatile single grinder; the wide range and click-based adjustment make it a flexible all-rounder rather than an espresso specialist.",Range OK; micron/step 10 per Varia official (replaced approx ~17),
VS3 (Gen 1),https://honestcoffeeguide.com/varia-vs3-gen-1-grind-settings/,Varia,VS3 (Gen 1),170,1400,1230,20,Stepless,61.5,"Compact electric single-dose grinder using 38mm flat burrs, with a numbered scale that is finely, effectively stepless for precise dialing across espresso to filter. Gen 1 popularized Varia affordable flat-burr single dosing in a small footprint with a relatively wide range. Flat burrs give good clarity for the price; build is a compact desktop unit aimed at space-conscious home espresso and pour-over users.",OK - range matches source,
VS3 (Gen 2),https://honestcoffeeguide.com/varia-vs3-gen-2-grind-settings/,Varia,VS3 (Gen 2),170,1400,1230,20,Stepless,61.5,"Second-generation VS3 retaining 38mm flat burrs and the numbered, effectively stepless adjustment of Gen 1, with refinements to motor/workflow, reduced retention, and improved single-dose handling (bellows/anti-static). Same wide espresso-to-coarse range in a compact electric body. Targets home users wanting precise, low-retention single dosing and flat-burr clarity in a small, affordable package.",Range per source; live re-verify hit web rate limit,
VS6,https://honestcoffeeguide.com/varia-vs6-grind-settings/,Varia,VS6,130,1400,1270,24,Stepless,52.91666667,"Higher-end electric single-dose grinder using 64mm flat burrs, stepping up burr size from the 38mm VS3 for faster grinding and flatter particle distribution; settings use a numbered scale (up to ~24) with fine, effectively stepless micro-adjustment. Offers a very wide espresso-to-cold-brew range with low-retention single dosing and anti-static/bellows workflow. Aimed at enthusiasts wanting 64mm flat-burr performance and clarity in a compact, modern desktop design.",Range per source; live re-verify hit web rate limit,
6,https://honestcoffeeguide.com/vevok-chef-06-grind-settings/,Vevok Chef,6,420,1290,870,6,Stepped (clicks),145,"Compact stainless-steel manual hand grinder with CNC-machined conical stainless steel burrs and six external click-stop settings adjustable without opening the body. Built mainly of stainless steel with a glass catch jar and a hopper holding roughly 15-20g of beans. The coarse six-step indexing targets named brew methods (espresso through cold brew) rather than fine micro-adjustment, so it is best for casual home and camping use rather than precision dialing.",Range per source; live re-verify hit web rate limit,
06 Slim,https://honestcoffeeguide.com/vevok-chef-06-slim-grind-settings/,Vevok Chef,06 Slim,420,1290,870,6,Stepped (clicks),145,"Slimmer-profile version of the Vevok Chef 06 using the same CNC-machined conical stainless steel burrs and external six-step click adjustment system. Slender stainless-steel body designed for portability and travel, with a small bean capacity and the same coarse named-method indexing. Suited to entry-level manual brewing for espresso through cold brew, with the same limited micro-adjustment resolution as the standard 06.",Range per source; live re-verify hit web rate limit,
JAVA,https://honestcoffeeguide.com/vssl-java-grind-settings/,Vssl,JAVA,375,1400,1025,50,Stepped (clicks),20.5,"Rugged portable hand grinder built around 38mm stainless steel conical burrs with dual bearings on a stabilized center shaft for consistent grinding. Settings are counted as clicks coarser from burr lock (around 50 dial positions), and the aircraft-grade aluminum body has an extendable handle that folds into a carabiner-style carry position. Roughly 20g bean capacity, marketed for outdoor and travel use spanning espresso to cold brew.",Range per source; live re-verify hit web rate limit,
Exagrind,https://honestcoffeeguide.com/wacaco-exagrind-grind-settings/,Wacaco,Exagrind,150,950,800,60,Stepped (clicks),13.33333333,"Portable manual grinder equipped with 38mm stainless steel conical burrs and a 60-click stepped adjustment offering roughly 33 microns per click for fine control. Constructed from aluminum and stainless steel with dual bearings on the steel center shaft for smooth, wobble-free grinding, holding up to about 20g of beans. Designed to pair with Wacaco portable espresso makers and to span espresso through coarse pour-over and cold brew.",Range per source; live re-verify hit web rate limit,
EG-1,https://honestcoffeeguide.com/weber-workshops-eg-1-grind-settings/,Weber Workshops,EG-1,0,1400,1400,280,Stepless,5,"Flagship single-dose grinder built around massive 80mm flat burrs (magnetically mounted, CORE or upgrade SSP sets) with stepless adjustment in precise ~5-micron increments. Premium machined-aluminum build with PID-controlled fan-cooled motor and variable RPM (roughly 500-1500), retention below 0.1g, and a reverse-purge function. Engineered as a top-tier all-rounder handling everything from pour-over to espresso with exceptional grind quality and consistency.",Range per source; live re-verify hit web rate limit,
KEY Mk1,https://honestcoffeeguide.com/weber-workshops-key-mk1-grind-settings/,Weber Workshops,KEY Mk1,0,940,940,225,Stepless,4.177777778,"High-end single-dose grinder built around large 83mm conical burrs (Mazzer-sourced with TiN coating) using a three-part rotation/division/sub-division stepless scale with roughly 5-micron resolution. Premium build with variable RPM control to suit light or dark roasts and a magnet-based Magic Tumbler for even grounds distribution. Positioned as a conical-burr counterpart to the EG-1, favoring rich, textured espresso and versatile brewing.",Range per source; live re-verify hit web rate limit,
Balance,https://honestcoffeeguide.com/wilfa-balance-grind-settings/,Wilfa,Balance,345,1200,855,31,Stepped dial,27.58064516,"Entry-level electric home grinder using a conical burr set with 31 stepped grind levels arranged from moka pot to coarse brewing. Features a UV-protected lockable bean hopper and an anti-static stainless steel grounds container to reduce mess, with a removable burr assembly for easy cleaning. Aimed at everyday filter and immersion brewing rather than espresso, prioritizing simplicity and consistent medium-to-coarse grinds.",Range per source; live re-verify hit web rate limit,
Svart,https://honestcoffeeguide.com/wilfa-svart-grind-settings/,Wilfa,Svart,310,1100,790,18,Stepped dial (dots),43.88888889,"Popular budget electric grinder using conical burrs with a dot-marked stepped dial (roughly 18 dot positions) that rotates anti-clockwise, so the printed brew-method labels do not align with the dot count. UV-protected hopper, built-in timer, and a low-speed motor that limits heat and static buildup. Designed primarily for filter, French press, AeroPress and moka pot brewing rather than espresso, offering decent consistency for the price.",Range per source; live re-verify hit web rate limit,
Svart Aroma,https://honestcoffeeguide.com/wilfa-svart-aroma-grind-settings/,Wilfa,Svart Aroma,310,1100,790,18,Stepped dial (dots),43.88888889,"Updated version of the Wilfa Svart line using conical burrs with the same dot-marked stepped dial (about 18 positions) and the same anti-clockwise rotation quirk where labels do not match the dot count. Adds an improved lower-speed motor that produces less heat and static, plus a UV-protected 250g hopper and built-in dosing timer. Geared toward filter, immersion and moka pot brewing for home users seeking affordable, consistent medium-to-coarse grinds.",Range per source; live re-verify hit web rate limit,
Uniform,https://honestcoffeeguide.com/wilfa-uniform-grind-settings/,Wilfa,Uniform,220,1010,790,41,Stepped (hopper rotation),19.26829268,"Premium home grinder built around 58mm Italian-made stabilized flat steel burrs delivering strong uniformity across nearly the entire range. Offers 41 stepped settings selected by rotating the hopper, an auto-off function, low retention under 1g, and an anti-static grounds container, with optional SSP 58mm burr upgrades available. Capable of espresso through coarse brewing, regarded as one of the best value flat-burr grinders for filter-focused home use.",Range per source; live re-verify hit web rate limit,
Studio,https://honestcoffeeguide.com/xbloom-studio-grind-settings/,Xbloom,Studio,180,1050,870,80,Stepped dial,10.875,"Integrated grind-and-brew pour-over machine whose grinder uses 48mm conical steel burrs with 80 stepped settings at roughly 18.75 microns per click. Grind speed is adjustable between 60 and 120 RPM in 10 RPM increments, letting users tune particle size and fines for different roasts and methods spanning espresso to cold brew. Built as part of an all-in-one specialty pour-over system emphasizing automation and repeatability rather than standalone grinder flexibility.",Range per source; live re-verify hit web rate limit,
Z1,https://honestcoffeeguide.com/zerno-z1-grind-settings/,Zerno,Z1,0,1400,1400,28,Stepless,50,"High-end single-dose grinder offering interchangeable 64mm flat burr sets (blind and traditional mounting options) with fully stepless micron-level adjustment. Robust ~6.5kg machined build with a 300W motor around 900 RPM, single-dose workflow, and very low retention aimed at switching coffees cleanly between doses. Marketed as a precision flat-burr grinder competing with flagships at a relatively more accessible price, suited to both espresso and filter.",Stepless (Zerno) per official - micron/step NA,
Enfinigy Coffee Grinder,https://honestcoffeeguide.com/zwilling-enfinigy-coffee-grinder-grind-settings/,Zwilling,Enfinigy Coffee Grinder,228,1050,822,140,Stepped dial,5.871428571,"Electric home grinder using a stainless steel conical burr set with 140 stepped grinding options selected via a dial wheel, spanning espresso to coarse drip. Features cup-count dosing (roughly 2-12 cups), a low-speed motor that grinds without overheating the beans, and compatibility with the Enfinigy drip coffee maker basket. Designed as a sleek, user-friendly everyday grinder prioritizing convenience and a wide setting count over barista-grade precision.",Range per source; live re-verify hit web rate limit,
